bedesten_query_total,corpus_over_bedesten_ratio,corpus_rows,difference_bedesten_minus_corpus,phrase,status,year
654396,0.9998670529770964,654309,87,karar,ok,2016
629836,0.9983360747877226,628788,1048,karar,ok,2017
512273,0.9984559014431758,511482,791,karar,ok,2018
524649,0.9982331044183825,523722,927,karar,ok,2019
447399,0.9968015127436584,445968,1431,karar,ok,2020
490566,0.9807834215987248,481139,9427,karar,ok,2021
369348,0.9626449852171935,355551,13797,karar,ok,2022
266085,0.9940019166807599,264489,1596,karar,ok,2023
300140,0.9950489771439994,298654,1486,karar,ok,2024
317732,0.9866113579998238,313478,4254,karar,ok,2025
121082,0.3014155696139806,36496,84586,karar,ok,2026
