court,decisions,lt_300
12. Hukuk Dairesi,448434,195
4. Ceza Dairesi,414872,6
3. Ceza Dairesi,411103,14
2. Ceza Dairesi,399812,14
2. Hukuk Dairesi,350409,49
9. Hukuk Dairesi,341978,182
5. Hukuk Dairesi,340501,30
7. Ceza Dairesi,327960,12
8. Ceza Dairesi,320608,3
6. Ceza Dairesi,305801,7
13. Hukuk Dairesi,298797,1023
22. Hukuk Dairesi,270411,117
11. Ceza Dairesi,266136,4
21. Hukuk Dairesi,258448,212
15. Ceza Dairesi,254732,24
10. Hukuk Dairesi,251862,4256
3. Hukuk Dairesi,235477,12
13. Ceza Dairesi,229265,10
12. Ceza Dairesi,221037,1
4. Hukuk Dairesi,220541,2
8. Hukuk Dairesi,218293,138
5. Ceza Dairesi,211947,3
20. Hukuk Dairesi,207698,13
14. Hukuk Dairesi,207483,48
7. Hukuk Dairesi,198875,124
11. Hukuk Dairesi,194744,16
17. Hukuk Dairesi,193987,32
1. Hukuk Dairesi,192835,23
19. Hukuk Dairesi,191385,11
18. Hukuk Dairesi,187237,11
9. Ceza Dairesi,172664,8
16. Hukuk Dairesi,172260,18
10. Ceza Dairesi,153357,3
6. Hukuk Dairesi,135406,1
14. Ceza Dairesi,130863,2
1. Ceza Dairesi,128906,2
19. Ceza Dairesi,118874,0
18. Ceza Dairesi,108233,1
15. Hukuk Dairesi,103035,2
17. Ceza Dairesi,95546,0
23. Hukuk Dairesi,64291,2
16. Ceza Dairesi,52184,2
20. Ceza Dairesi,46642,2
22. Ceza Dairesi,39589,0
23. Ceza Dairesi,33620,0
Hukuk Genel Kurulu,30329,0
21. Ceza Dairesi,25781,0
Hukuk Daireleri Başkanlar Kurulu,18628,0
Ceza Genel Kurulu,13600,1
Ceza Daireleri Başkanlar Kurulu,3613,0
Büyük Genel Kurulu,40,0
İçtihatları Birleştirme BGK,8,0
-,7,0
Yargıtay İçtihatları Birleştirme Hukuk Genel Kurulu ,1,0
