year,decisions,lt_300,known_placeholder
1997,7,0,0
1998,3,0,0
1999,34,0,0
2000,103,0,0
2001,185,0,0
2002,121,0,0
2003,349,0,0
2004,651,0,0
2005,1887,0,0
2006,123047,71,29
2007,156830,58,98
2008,166009,157,105
2009,172722,149,166
2010,481664,1129,233
2011,657011,1112,245
2012,885295,1001,3
2013,872608,1187,0
2014,883429,793,0
2015,904114,453,0
2016,654309,362,0
2017,628788,49,0
2018,511482,44,0
2019,523722,33,0
2020,445968,8,0
2021,481139,9,0
2022,355551,16,0
2023,264489,3,0
2024,298654,1,0
2025,313478,1,0
2026,36496,0,0
