year,court,decisions,median_chars,lt_300
1997,12. Hukuk Dairesi,1,1401,0
1997,18. Hukuk Dairesi,1,3577,0
1997,2. Hukuk Dairesi,1,1736,0
1997,21. Hukuk Dairesi,1,2123,0
1997,9. Ceza Dairesi,1,1583,0
1997,Ceza Genel Kurulu,1,6293,0
1997,Hukuk Genel Kurulu,1,5051,0
1998,10. Ceza Dairesi,1,2310,0
1998,Hukuk Genel Kurulu,2,6772,0
1999,1. Ceza Dairesi,1,2416,0
1999,1. Hukuk Dairesi,1,3914,0
1999,10. Ceza Dairesi,1,1897,0
1999,10. Hukuk Dairesi,1,2393,0
1999,11. Ceza Dairesi,1,1813,0
1999,11. Hukuk Dairesi,1,9961,0
1999,12. Hukuk Dairesi,1,2030,0
1999,13. Hukuk Dairesi,1,2116,0
1999,14. Hukuk Dairesi,2,3652,0
1999,15. Hukuk Dairesi,1,2454,0
1999,16. Hukuk Dairesi,1,2902,0
1999,17. Hukuk Dairesi,1,2749,0
1999,18. Hukuk Dairesi,1,6886,0
1999,19. Hukuk Dairesi,1,2536,0
1999,2. Ceza Dairesi,1,3965,0
1999,2. Hukuk Dairesi,2,1946,0
1999,20. Hukuk Dairesi,1,2028,0
1999,21. Hukuk Dairesi,1,2501,0
1999,3. Ceza Dairesi,1,1806,0
1999,3. Hukuk Dairesi,2,2518,0
1999,4. Ceza Dairesi,1,1750,0
1999,4. Hukuk Dairesi,1,7466,0
1999,5. Ceza Dairesi,1,2260,0
1999,5. Hukuk Dairesi,1,1571,0
1999,6. Ceza Dairesi,1,2025,0
1999,7. Hukuk Dairesi,1,4797,0
1999,8. Ceza Dairesi,1,2215,0
1999,8. Hukuk Dairesi,1,4727,0
1999,9. Hukuk Dairesi,1,2012,0
1999,Ceza Genel Kurulu,2,7098,0
2000,1. Hukuk Dairesi,1,2375,0
2000,10. Hukuk Dairesi,1,2350,0
2000,11. Ceza Dairesi,1,1728,0
2000,11. Hukuk Dairesi,2,5642,0
2000,12. Hukuk Dairesi,1,2841,0
2000,13. Hukuk Dairesi,1,6867,0
2000,14. Hukuk Dairesi,1,2729,0
2000,15. Hukuk Dairesi,1,4627,0
2000,16. Hukuk Dairesi,1,3654,0
2000,18. Hukuk Dairesi,1,1852,0
2000,19. Hukuk Dairesi,1,3080,0
2000,2. Ceza Dairesi,1,1860,0
2000,2. Hukuk Dairesi,1,2446,0
2000,20. Hukuk Dairesi,1,3060,0
2000,21. Hukuk Dairesi,1,2506,0
2000,3. Ceza Dairesi,1,1843,0
2000,3. Hukuk Dairesi,1,3991,0
2000,4. Ceza Dairesi,1,2127,0
2000,4. Hukuk Dairesi,1,4214,0
2000,5. Hukuk Dairesi,1,2070,0
2000,6. Ceza Dairesi,1,2153,0
2000,6. Hukuk Dairesi,1,3497,0
2000,7. Ceza Dairesi,1,1435,0
2000,7. Hukuk Dairesi,1,2560,0
2000,8. Ceza Dairesi,1,1144,0
2000,8. Hukuk Dairesi,1,4450,0
2000,9. Ceza Dairesi,2,2324,0
2000,9. Hukuk Dairesi,2,2015,0
2000,Ceza Genel Kurulu,1,5386,0
2000,Hukuk Genel Kurulu,71,3449,0
2001,1. Ceza Dairesi,2,2100,0
2001,1. Hukuk Dairesi,1,3600,0
2001,10. Ceza Dairesi,1,1351,0
2001,10. Hukuk Dairesi,1,3012,0
2001,11. Ceza Dairesi,1,2290,0
2001,11. Hukuk Dairesi,4,6410,0
2001,12. Hukuk Dairesi,1,2649,0
2001,13. Hukuk Dairesi,1,2907,0
2001,15. Hukuk Dairesi,1,1983,0
2001,16. Hukuk Dairesi,1,3376,0
2001,17. Hukuk Dairesi,1,3488,0
2001,18. Hukuk Dairesi,4,1786,0
2001,19. Hukuk Dairesi,4,2169,0
2001,2. Ceza Dairesi,1,3413,0
2001,2. Hukuk Dairesi,1,2742,0
2001,20. Hukuk Dairesi,1,17133,0
2001,21. Hukuk Dairesi,1,3012,0
2001,3. Hukuk Dairesi,2,7450,0
2001,4. Ceza Dairesi,11,1525,0
2001,4. Hukuk Dairesi,1,4773,0
2001,5. Hukuk Dairesi,1,2032,0
2001,6. Ceza Dairesi,1,1313,0
2001,6. Hukuk Dairesi,1,2855,0
2001,7. Ceza Dairesi,1,1978,0
2001,7. Hukuk Dairesi,1,3043,0
2001,8. Ceza Dairesi,5,1458,0
2001,9. Ceza Dairesi,1,2078,0
2001,9. Hukuk Dairesi,1,3194,0
2001,Ceza Genel Kurulu,1,14150,0
2001,Hukuk Genel Kurulu,131,3519,0
2002,1. Ceza Dairesi,1,6802,0
2002,1. Hukuk Dairesi,2,2560,0
2002,10. Hukuk Dairesi,5,4347,0
2002,11. Ceza Dairesi,6,1914,0
2002,11. Hukuk Dairesi,11,3625,0
2002,13. Hukuk Dairesi,8,3487,0
2002,14. Hukuk Dairesi,1,3170,0
2002,15. Hukuk Dairesi,5,1912,0
2002,18. Hukuk Dairesi,2,2474,0
2002,19. Hukuk Dairesi,8,2372,0
2002,2. Ceza Dairesi,1,1184,0
2002,2. Hukuk Dairesi,1,1783,0
2002,20. Hukuk Dairesi,5,5615,0
2002,4. Ceza Dairesi,31,1454,0
2002,4. Hukuk Dairesi,3,2664,0
2002,5. Ceza Dairesi,4,1516,0
2002,6. Ceza Dairesi,7,1220,0
2002,8. Ceza Dairesi,6,1266,0
2002,9. Ceza Dairesi,2,1539,0
2002,9. Hukuk Dairesi,9,2171,0
2002,Ceza Genel Kurulu,1,4289,0
2002,Hukuk Genel Kurulu,2,7816,0
2003,1. Ceza Dairesi,9,3774,0
2003,1. Hukuk Dairesi,18,2815,0
2003,10. Ceza Dairesi,5,1542,0
2003,10. Hukuk Dairesi,19,3448,0
2003,11. Ceza Dairesi,2,2296,0
2003,11. Hukuk Dairesi,10,3716,0
2003,12. Hukuk Dairesi,12,1404,0
2003,13. Hukuk Dairesi,6,2922,0
2003,14. Hukuk Dairesi,15,4165,0
2003,15. Hukuk Dairesi,8,2689,0
2003,16. Hukuk Dairesi,27,2730,0
2003,17. Hukuk Dairesi,6,3304,0
2003,18. Hukuk Dairesi,8,3360,0
2003,19. Hukuk Dairesi,6,2258,0
2003,2. Ceza Dairesi,13,1219,0
2003,2. Hukuk Dairesi,10,1680,0
2003,20. Hukuk Dairesi,1,6765,0
2003,21. Hukuk Dairesi,18,2266,0
2003,3. Ceza Dairesi,7,1615,0
2003,3. Hukuk Dairesi,3,4769,0
2003,4. Ceza Dairesi,15,1488,0
2003,4. Hukuk Dairesi,10,3384,0
2003,5. Ceza Dairesi,4,1849,0
2003,5. Hukuk Dairesi,8,1998,0
2003,6. Ceza Dairesi,17,1508,0
2003,6. Hukuk Dairesi,13,2489,0
2003,7. Ceza Dairesi,7,1514,0
2003,7. Hukuk Dairesi,7,3038,0
2003,8. Ceza Dairesi,16,1435,0
2003,8. Hukuk Dairesi,7,3357,0
2003,9. Ceza Dairesi,2,2673,0
2003,9. Hukuk Dairesi,20,1946,0
2003,Ceza Genel Kurulu,7,11015,0
2003,Hukuk Genel Kurulu,13,12752,0
2004,1. Ceza Dairesi,15,3090,0
2004,1. Hukuk Dairesi,15,4593,0
2004,10. Ceza Dairesi,16,2282,0
2004,10. Hukuk Dairesi,16,4048,0
2004,11. Ceza Dairesi,17,2505,0
2004,11. Hukuk Dairesi,15,3812,0
2004,12. Hukuk Dairesi,22,1706,0
2004,13. Hukuk Dairesi,24,3498,0
2004,14. Hukuk Dairesi,22,3370,0
2004,15. Hukuk Dairesi,13,2233,0
2004,16. Hukuk Dairesi,10,4113,0
2004,17. Hukuk Dairesi,11,3433,0
2004,18. Hukuk Dairesi,15,2975,0
2004,19. Hukuk Dairesi,16,2837,0
2004,2. Ceza Dairesi,11,2108,0
2004,2. Hukuk Dairesi,26,1840,0
2004,20. Hukuk Dairesi,11,5402,0
2004,21. Hukuk Dairesi,12,2787,0
2004,3. Ceza Dairesi,9,1710,0
2004,3. Hukuk Dairesi,6,3454,0
2004,4. Ceza Dairesi,18,1442,0
2004,4. Hukuk Dairesi,9,3355,0
2004,5. Ceza Dairesi,20,1696,0
2004,5. Hukuk Dairesi,31,1857,0
2004,6. Ceza Dairesi,35,1394,0
2004,6. Hukuk Dairesi,10,2450,0
2004,7. Ceza Dairesi,15,2413,0
2004,7. Hukuk Dairesi,5,2912,0
2004,8. Ceza Dairesi,8,1706,0
2004,8. Hukuk Dairesi,9,3471,0
2004,9. Ceza Dairesi,17,1247,0
2004,9. Hukuk Dairesi,19,2013,0
2004,Ceza Genel Kurulu,140,11713,0
2004,Hukuk Genel Kurulu,12,11440,0
2004,İçtihatları Birleştirme BGK,1,54455,0
2005,1. Ceza Dairesi,9,2435,0
2005,1. Hukuk Dairesi,72,2840,0
2005,10. Ceza Dairesi,16,2396,0
2005,10. Hukuk Dairesi,33,3580,0
2005,11. Ceza Dairesi,9,2659,0
2005,11. Hukuk Dairesi,55,4476,0
2005,12. Hukuk Dairesi,178,765,0
2005,13. Hukuk Dairesi,11,4156,0
2005,14. Hukuk Dairesi,10,2856,0
2005,15. Hukuk Dairesi,31,2794,0
2005,16. Hukuk Dairesi,35,4861,0
2005,17. Hukuk Dairesi,18,3373,0
2005,18. Hukuk Dairesi,28,2905,0
2005,19. Hukuk Dairesi,18,2508,0
2005,2. Ceza Dairesi,20,2402,0
2005,2. Hukuk Dairesi,49,2012,0
2005,20. Hukuk Dairesi,69,3700,0
2005,21. Hukuk Dairesi,21,2926,0
2005,3. Ceza Dairesi,15,1590,0
2005,3. Hukuk Dairesi,12,3724,0
2005,4. Ceza Dairesi,5,1557,0
2005,4. Hukuk Dairesi,21,2697,0
2005,5. Ceza Dairesi,10,1884,0
2005,5. Hukuk Dairesi,27,1908,0
2005,6. Ceza Dairesi,14,2626,0
2005,6. Hukuk Dairesi,19,2528,0
2005,7. Ceza Dairesi,11,2526,0
2005,7. Hukuk Dairesi,28,4792,0
2005,8. Ceza Dairesi,19,1412,0
2005,8. Hukuk Dairesi,24,4194,0
2005,9. Ceza Dairesi,12,1456,0
2005,9. Hukuk Dairesi,18,3110,0
2005,Ceza Genel Kurulu,186,7688,0
2005,Hukuk Genel Kurulu,783,4179,0
2005,İçtihatları Birleştirme BGK,1,1651,0
2006,-,2,1454,0
2006,1. Ceza Dairesi,36,2686,0
2006,1. Hukuk Dairesi,543,2392,1
2006,10. Ceza Dairesi,61,1761,0
2006,10. Hukuk Dairesi,36,3869,0
2006,11. Ceza Dairesi,53,2779,0
2006,11. Hukuk Dairesi,62,4142,0
2006,12. Ceza Dairesi,6,1267,0
2006,12. Hukuk Dairesi,21359,775,21
2006,13. Ceza Dairesi,4,574,0
2006,13. Hukuk Dairesi,8206,868,11
2006,14. Hukuk Dairesi,15535,916,7
2006,15. Hukuk Dairesi,3305,953,0
2006,16. Hukuk Dairesi,7145,1291,3
2006,17. Hukuk Dairesi,5961,1486,19
2006,18. Hukuk Dairesi,9837,1017,0
2006,19. Hukuk Dairesi,6556,1440,5
2006,2. Ceza Dairesi,31,2258,0
2006,2. Hukuk Dairesi,12463,811,1
2006,20. Hukuk Dairesi,16610,1695,2
2006,21. Hukuk Dairesi,13149,961,1
2006,23. Hukuk Dairesi,1,1447,0
2006,3. Ceza Dairesi,17,1647,0
2006,3. Hukuk Dairesi,22,2724,0
2006,4. Ceza Dairesi,40,1512,0
2006,4. Hukuk Dairesi,33,2682,0
2006,5. Ceza Dairesi,46,1870,0
2006,5. Hukuk Dairesi,210,1079,0
2006,6. Ceza Dairesi,26,2172,0
2006,6. Hukuk Dairesi,97,432,0
2006,7. Ceza Dairesi,35,1907,0
2006,7. Hukuk Dairesi,35,4813,0
2006,8. Ceza Dairesi,25,1906,0
2006,8. Hukuk Dairesi,20,4404,0
2006,9. Ceza Dairesi,30,1244,0
2006,9. Hukuk Dairesi,15,2361,0
2006,Ceza Genel Kurulu,328,8056,0
2006,Hukuk Daireleri Başkanlar Kurulu,278,933,0
2006,Hukuk Genel Kurulu,829,4337,0
2007,1. Ceza Dairesi,15,3129,0
2007,1. Hukuk Dairesi,1551,2978,0
2007,10. Ceza Dairesi,49,3287,0
2007,10. Hukuk Dairesi,78,3905,0
2007,11. Ceza Dairesi,93,2816,0
2007,11. Hukuk Dairesi,44,4762,0
2007,12. Ceza Dairesi,13,777,0
2007,12. Hukuk Dairesi,24428,778,49
2007,13. Ceza Dairesi,3,788,0
2007,13. Hukuk Dairesi,10750,828,0
2007,14. Hukuk Dairesi,16593,879,2
2007,15. Hukuk Dairesi,8172,929,0
2007,16. Hukuk Dairesi,5489,1198,1
2007,17. Hukuk Dairesi,4334,1601,1
2007,18. Hukuk Dairesi,11146,929,0
2007,19. Hukuk Dairesi,10920,1164,0
2007,2. Ceza Dairesi,33,1546,0
2007,2. Hukuk Dairesi,17770,803,1
2007,20. Hukuk Dairesi,17037,1740,2
2007,21. Hukuk Dairesi,23748,950,0
2007,22. Hukuk Dairesi,2,4102,0
2007,3. Ceza Dairesi,38,1965,0
2007,3. Hukuk Dairesi,21,3086,0
2007,4. Ceza Dairesi,51,1613,0
2007,4. Hukuk Dairesi,701,806,1
2007,5. Ceza Dairesi,64,2172,0
2007,5. Hukuk Dairesi,78,1256,0
2007,6. Ceza Dairesi,36,2554,0
2007,6. Hukuk Dairesi,297,418,0
2007,7. Ceza Dairesi,67,1199,0
2007,7. Hukuk Dairesi,113,1382,0
2007,8. Ceza Dairesi,265,1301,0
2007,8. Hukuk Dairesi,336,582,0
2007,9. Ceza Dairesi,43,952,0
2007,9. Hukuk Dairesi,297,1803,1
2007,Ceza Daireleri Başkanlar Kurulu,31,4588,0
2007,Ceza Genel Kurulu,298,9235,0
2007,Hukuk Daireleri Başkanlar Kurulu,840,934,0
2007,Hukuk Genel Kurulu,985,5583,0
2007,İçtihatları Birleştirme BGK,1,29428,0
2008,1. Ceza Dairesi,23,2621,0
2008,1. Hukuk Dairesi,2238,2600,0
2008,10. Ceza Dairesi,40,3058,0
2008,10. Hukuk Dairesi,414,975,23
2008,11. Ceza Dairesi,73,2932,0
2008,11. Hukuk Dairesi,38,4588,0
2008,12. Ceza Dairesi,1,982,0
2008,12. Hukuk Dairesi,23364,782,61
2008,13. Ceza Dairesi,1,802,0
2008,13. Hukuk Dairesi,12095,813,42
2008,14. Ceza Dairesi,1,3458,0
2008,14. Hukuk Dairesi,15949,873,5
2008,15. Hukuk Dairesi,7766,941,0
2008,16. Hukuk Dairesi,8762,1289,0
2008,17. Hukuk Dairesi,5876,1623,0
2008,18. Hukuk Dairesi,13223,929,5
2008,19. Hukuk Dairesi,12670,1128,3
2008,2. Ceza Dairesi,45,1612,0
2008,2. Hukuk Dairesi,17492,787,16
2008,20. Hukuk Dairesi,19188,1803,0
2008,21. Hukuk Dairesi,21702,953,1
2008,22. Hukuk Dairesi,1,2529,0
2008,3. Ceza Dairesi,23,1884,0
2008,3. Hukuk Dairesi,327,745,0
2008,4. Ceza Dairesi,56,1675,0
2008,4. Hukuk Dairesi,56,3008,0
2008,5. Ceza Dairesi,52,1910,0
2008,5. Hukuk Dairesi,36,1710,0
2008,6. Ceza Dairesi,6,2453,0
2008,6. Hukuk Dairesi,49,3354,0
2008,7. Ceza Dairesi,22,2086,0
2008,7. Hukuk Dairesi,171,922,0
2008,8. Ceza Dairesi,1110,972,0
2008,8. Hukuk Dairesi,42,3880,0
2008,9. Ceza Dairesi,1070,771,1
2008,9. Hukuk Dairesi,42,6384,0
2008,Ceza Daireleri Başkanlar Kurulu,15,5858,0
2008,Ceza Genel Kurulu,247,7724,0
2008,Hukuk Daireleri Başkanlar Kurulu,920,908,0
2008,Hukuk Genel Kurulu,800,4702,0
2008,İçtihatları Birleştirme BGK,3,1650,0
2009,1. Ceza Dairesi,67,1923,0
2009,1. Hukuk Dairesi,2193,2914,0
2009,10. Ceza Dairesi,16,2036,0
2009,10. Hukuk Dairesi,194,1105,32
2009,11. Ceza Dairesi,832,1198,1
2009,11. Hukuk Dairesi,20,3186,0
2009,12. Ceza Dairesi,1,771,0
2009,12. Hukuk Dairesi,27181,782,47
2009,13. Ceza Dairesi,2,1370,0
2009,13. Hukuk Dairesi,12272,800,37
2009,14. Hukuk Dairesi,14929,874,2
2009,15. Hukuk Dairesi,7436,928,0
2009,16. Hukuk Dairesi,9245,1145,1
2009,17. Hukuk Dairesi,9344,1780,2
2009,18. Hukuk Dairesi,12977,884,0
2009,19. Hukuk Dairesi,12283,1130,1
2009,2. Ceza Dairesi,37,1616,0
2009,2. Hukuk Dairesi,22629,847,21
2009,20. Hukuk Dairesi,20052,1921,5
2009,21. Hukuk Dairesi,17066,982,0
2009,3. Ceza Dairesi,3,2994,0
2009,3. Hukuk Dairesi,50,2721,0
2009,4. Ceza Dairesi,70,2118,0
2009,4. Hukuk Dairesi,32,3332,0
2009,5. Ceza Dairesi,46,2548,0
2009,5. Hukuk Dairesi,27,1734,0
2009,6. Ceza Dairesi,12,1744,0
2009,6. Hukuk Dairesi,415,760,0
2009,7. Ceza Dairesi,81,890,0
2009,7. Hukuk Dairesi,841,627,0
2009,8. Ceza Dairesi,213,669,0
2009,8. Hukuk Dairesi,14,3154,0
2009,9. Ceza Dairesi,37,1759,0
2009,9. Hukuk Dairesi,283,679,0
2009,Ceza Daireleri Başkanlar Kurulu,31,5040,0
2009,Ceza Genel Kurulu,219,9600,0
2009,Hukuk Daireleri Başkanlar Kurulu,955,922,0
2009,Hukuk Genel Kurulu,617,6147,0
2010,1. Ceza Dairesi,8570,1623,0
2010,1. Hukuk Dairesi,14143,825,3
2010,10. Ceza Dairesi,24,2224,0
2010,10. Hukuk Dairesi,6908,943,828
2010,11. Ceza Dairesi,14995,1131,0
2010,11. Hukuk Dairesi,13226,2362,7
2010,12. Hukuk Dairesi,30335,783,6
2010,13. Ceza Dairesi,15,873,0
2010,13. Hukuk Dairesi,14775,791,219
2010,14. Hukuk Dairesi,14847,863,5
2010,15. Hukuk Dairesi,7352,909,0
2010,16. Hukuk Dairesi,7908,1099,2
2010,17. Hukuk Dairesi,11572,1641,5
2010,18. Hukuk Dairesi,15929,961,3
2010,19. Hukuk Dairesi,14182,1355,0
