id,document_id,court,esas_no,karar_no,karar_tarihi,year,chars,text
yargitay:16193500,16193500,1. Hukuk Dairesi,2006/113,2006/115,2006-09-02,2006,78,"1. Hukuk Dairesi 2006/113 E., 2006/115 K.

""İçtihat Metni""

deneme karar metni"
yargitay:521636700,521636700,8. Hukuk Dairesi,2012/574,2012/221,2012-01-23,2012,108,"8. Hukuk Dairesi 2012/574 E. , 2012/221 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:385753300,385753300,12. Hukuk Dairesi,2008/514,2008/326,2008-01-16,2008,109,"12. Hukuk Dairesi 2008/514 E. , 2008/326 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:505202300,505202300,2. Hukuk Dairesi,2009/1187,2009/733,2009-01-26,2009,109,"2. Hukuk Dairesi 2009/1187 E. , 2009/733 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:505369700,505369700,2. Hukuk Dairesi,2009/1060,2009/717,2009-01-26,2009,109,"2. Hukuk Dairesi 2009/1060 E. , 2009/717 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:523387600,523387600,8. Hukuk Dairesi,2011/2740,2012/784,2012-02-14,2012,109,"8. Hukuk Dairesi 2011/2740 E. , 2012/784 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:540210900,540210900,2. Hukuk Dairesi,2009/679,2010/2955,2010-02-18,2010,109,"2. Hukuk Dairesi 2009/679 E. , 2010/2955 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:385780000,385780000,12. Hukuk Dairesi,2008/653,2008/2346,2008-02-14,2008,110,"12. Hukuk Dairesi 2008/653 E. , 2008/2346 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:386403000,386403000,12. Hukuk Dairesi,2009/271,2009/8197,2009-04-16,2009,110,"12. Hukuk Dairesi 2009/271 E. , 2009/8197 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:484783500,484783500,2. Hukuk Dairesi,2008/8782,2008/7865,2008-06-02,2008,110,"2. Hukuk Dairesi 2008/8782 E. , 2008/7865 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:504598600,504598600,2. Hukuk Dairesi,2009/10097,2010/431,2010-01-13,2010,110,"2. Hukuk Dairesi 2009/10097 E. , 2010/431 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:517233700,517233700,2. Hukuk Dairesi,2008/2907,2009/8093,2009-04-27,2009,110,"2. Hukuk Dairesi 2008/2907 E. , 2009/8093 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:518111300,518111300,2. Hukuk Dairesi,2009/8609,2009/9772,2009-05-25,2009,110,"2. Hukuk Dairesi 2009/8609 E. , 2009/9772 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:518409700,518409700,2. Hukuk Dairesi,2008/6469,2009/8588,2009-05-04,2009,110,"2. Hukuk Dairesi 2008/6469 E. , 2009/8588 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:597288300,597288300,2. Hukuk Dairesi,2008/4632,2009/3548,2009-03-02,2009,110,"2. Hukuk Dairesi 2008/4632 E. , 2009/3548 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:920233900,920233900,1. Hukuk Dairesi,2010/7382,2010/7525,2010-06-28,2010,110,"1. Hukuk Dairesi 2010/7382 E. , 2010/7525 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:923566800,923566800,1. Hukuk Dairesi,2010/5770,2010/6574,2010-06-07,2010,110,"1. Hukuk Dairesi 2010/5770 E. , 2010/6574 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:385840700,385840700,12. Hukuk Dairesi,2008/2684,2008/5198,2008-03-17,2008,111,"12. Hukuk Dairesi 2008/2684 E. , 2008/5198 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:385897600,385897600,12. Hukuk Dairesi,2008/3222,2008/6008,2008-03-25,2008,111,"12. Hukuk Dairesi 2008/3222 E. , 2008/6008 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:385971800,385971800,12. Hukuk Dairesi,2008/5162,2008/5937,2008-03-25,2008,111,"12. Hukuk Dairesi 2008/5162 E. , 2008/5937 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:386062600,386062600,12. Hukuk Dairesi,2008/5452,2008/5749,2008-03-24,2008,111,"12. Hukuk Dairesi 2008/5452 E. , 2008/5749 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:386065300,386065300,12. Hukuk Dairesi,2008/3541,2008/7970,2008-04-17,2008,111,"12. Hukuk Dairesi 2008/3541 E. , 2008/7970 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:386066400,386066400,12. Hukuk Dairesi,2008/6854,2008/9874,2008-05-09,2008,111,"12. Hukuk Dairesi 2008/6854 E. , 2008/9874 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:428142500,428142500,2. Hukuk Dairesi,2006/17519,2007/5986,2007-04-10,2007,111,"2. Hukuk Dairesi 2006/17519 E. , 2007/5986 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:485746800,485746800,2. Hukuk Dairesi,2008/10323,2008/9662,2008-06-30,2008,111,"2. Hukuk Dairesi 2008/10323 E. , 2008/9662 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:485962900,485962900,2. Hukuk Dairesi,2008/10633,2008/9081,2008-06-23,2008,111,"2. Hukuk Dairesi 2008/10633 E. , 2008/9081 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:488891900,488891900,2. Hukuk Dairesi,2008/3146,2008/11331,2008-09-09,2008,111,"2. Hukuk Dairesi 2008/3146 E. , 2008/11331 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:488972200,488972200,2. Hukuk Dairesi,2008/9006,2008/11346,2008-09-09,2008,111,"2. Hukuk Dairesi 2008/9006 E. , 2008/11346 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:501703600,501703600,2. Hukuk Dairesi,2008/1537,2008/16851,2008-12-15,2008,111,"2. Hukuk Dairesi 2008/1537 E. , 2008/16851 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:517576400,517576400,2. Hukuk Dairesi,2008/17747,2009/9310,2009-05-11,2009,111,"2. Hukuk Dairesi 2008/17747 E. , 2009/9310 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:518654200,518654200,2. Hukuk Dairesi,2008/8831,2009/11136,2009-06-09,2009,111,"2. Hukuk Dairesi 2008/8831 E. , 2009/11136 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:520831400,520831400,2. Hukuk Dairesi,2009/9642,2009/11025,2009-06-08,2009,111,"2. Hukuk Dairesi 2009/9642 E. , 2009/11025 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:521118800,521118800,2. Hukuk Dairesi,2009/8916,2009/10349,2009-06-01,2009,111,"2. Hukuk Dairesi 2009/8916 E. , 2009/10349 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
yargitay:521513100,521513100,2. Hukuk Dairesi,2009/9769,2009/11923,2009-06-18,2009,111,"2. Hukuk Dairesi 2009/9769 E. , 2009/11923 K.

""İçtihat Metni""MAHKEMESİ : ilgiliCezaMahAdi
DAVA TÜRÜ : davaTuru"
