court,decisions
12. Hukuk Dairesi,107393
21. Hukuk Dairesi,80748
2. Hukuk Dairesi,79033
20. Hukuk Dairesi,78639
14. Hukuk Dairesi,68011
18. Hukuk Dairesi,53241
13. Hukuk Dairesi,48437
19. Hukuk Dairesi,47707
16. Hukuk Dairesi,34198
17. Hukuk Dairesi,29590
15. Hukuk Dairesi,29291
2. Ceza Dairesi,14443
1. Hukuk Dairesi,11739
9. Hukuk Dairesi,10667
4. Ceza Dairesi,8922
8. Ceza Dairesi,8164
3. Hukuk Dairesi,8155
5. Hukuk Dairesi,7981
3. Ceza Dairesi,7591
7. Ceza Dairesi,6399
6. Hukuk Dairesi,6173
4. Hukuk Dairesi,6062
11. Ceza Dairesi,6011
6. Ceza Dairesi,5263
9. Ceza Dairesi,5014
11. Hukuk Dairesi,4970
Hukuk Genel Kurulu,4492
10. Hukuk Dairesi,4092
7. Hukuk Dairesi,3794
5. Ceza Dairesi,3427
Hukuk Daireleri Başkanlar Kurulu,3325
1. Ceza Dairesi,3311
8. Hukuk Dairesi,2658
Ceza Genel Kurulu,1529
10. Ceza Dairesi,219
Ceza Daireleri Başkanlar Kurulu,77
12. Ceza Dairesi,21
13. Ceza Dairesi,12
İçtihatları Birleştirme BGK,6
22. Hukuk Dairesi,3
-,2
14. Ceza Dairesi,1
23. Hukuk Dairesi,1
