id,document_id,source,court,esas_no,karar_no,karar_tarihi,year,text_len
yargitay:887801900,887801900,yargitay,19. Hukuk Dairesi,2008/3731,2008/4029,2008-04-17,2008,471
yargitay:867508100,867508100,yargitay,16. Hukuk Dairesi,2006/4076,2006/4922,2006-06-26,2006,1237
yargitay:892358500,892358500,yargitay,20. Hukuk Dairesi,2008/2674,2008/3756,2008-03-11,2008,1129
yargitay:886277500,886277500,yargitay,19. Hukuk Dairesi,2008/3997,2008/7106,2008-06-26,2008,507
yargitay:404967100,404967100,yargitay,2. Hukuk Dairesi,2006/11252,2006/15889,2006-11-20,2006,592
yargitay:868399000,868399000,yargitay,17. Hukuk Dairesi,2009/279,2009/2871,2009-05-05,2009,423
yargitay:78126500,78126500,yargitay,1. Hukuk Dairesi,2007/9591,2007/11287,2007-11-22,2007,6066
yargitay:861748100,861748100,yargitay,16. Hukuk Dairesi,2009/8036,2009/8118,2009-11-23,2009,2920
yargitay:891031200,891031200,yargitay,20. Hukuk Dairesi,2009/1278,2009/3820,2009-03-09,2009,1521
yargitay:71491200,71491200,yargitay,12. Hukuk Dairesi,2006/10790,2006/13180,2006-06-19,2006,1312
yargitay:76561100,76561100,yargitay,Hukuk Genel Kurulu,2007/558,2007/445,2007-07-04,2007,1155
yargitay:887494900,887494900,yargitay,19. Hukuk Dairesi,2006/10107,2007/60,2007-01-15,2007,1385
yargitay:895277600,895277600,yargitay,20. Hukuk Dairesi,2009/15884,2009/18761,2009-12-15,2009,806
yargitay:899574800,899574800,yargitay,21. Hukuk Dairesi,2006/21456,2007/4171,2007-03-13,2007,968
yargitay:880989400,880989400,yargitay,21. Hukuk Dairesi,2008/1560,2008/11259,2008-07-10,2008,938
yargitay:600727400,600727400,yargitay,2. Hukuk Dairesi,2008/2097,2009/4384,2009-03-11,2009,734
yargitay:873798500,873798500,yargitay,18. Hukuk Dairesi,2008/11093,2009/2278,2009-03-09,2009,711
yargitay:1027267800,1027267800,yargitay,5. Hukuk Dairesi,2009/13580,2010/1814,2010-02-11,2010,1233
yargitay:889878300,889878300,yargitay,19. Hukuk Dairesi,2006/5597,2006/9207,2006-10-05,2006,2011
yargitay:1027822700,1027822700,yargitay,5. Hukuk Dairesi,2009/19747,2010/4772,2010-03-23,2010,1345
yargitay:1141047900,1141047900,yargitay,8. Ceza Dairesi,2009/17579,2010/2090,2010-02-16,2010,737
yargitay:889340400,889340400,yargitay,19. Hukuk Dairesi,2006/9685,2007/2336,2007-03-12,2007,2022
yargitay:71098300,71098300,yargitay,12. Hukuk Dairesi,2008/9881,2008/9852,2008-05-01,2008,781
yargitay:865624800,865624800,yargitay,16. Hukuk Dairesi,2006/1007,2006/1131,2006-02-23,2006,1414
yargitay:885117800,885117800,yargitay,18. Hukuk Dairesi,2006/10278,2006/10982,2006-12-25,2006,1286
yargitay:873207600,873207600,yargitay,18. Hukuk Dairesi,2009/3927,2009/7289,2009-09-17,2009,1337
yargitay:963760600,963760600,yargitay,3. Ceza Dairesi,2009/9360,2010/5667,2010-03-29,2010,1861
yargitay:868461000,868461000,yargitay,16. Hukuk Dairesi,2006/4504,2006/7062,2006-11-09,2006,1225
yargitay:413035600,413035600,yargitay,2. Hukuk Dairesi,2006/12447,2007/669,2007-01-29,2007,796
yargitay:67462400,67462400,yargitay,12. Hukuk Dairesi,2009/657,2009/8594,2009-04-21,2009,983
yargitay:902839900,902839900,yargitay,20. Hukuk Dairesi,2006/2175,2006/4367,2006-04-03,2006,1856
yargitay:850114600,850114600,yargitay,14. Hukuk Dairesi,2008/7815,2008/8628,2008-06-30,2008,1304
yargitay:80662600,80662600,yargitay,21. Hukuk Dairesi,2007/15551,2008/3787,2008-03-10,2008,3165
yargitay:73445600,73445600,yargitay,12. Hukuk Dairesi,2006/6482,2006/9671,2006-05-02,2006,773
yargitay:886258900,886258900,yargitay,19. Hukuk Dairesi,2008/6358,2008/7240,2008-07-01,2008,459
yargitay:890122000,890122000,yargitay,19. Hukuk Dairesi,2006/6472,2006/11514,2006-12-01,2006,1900
yargitay:92497300,92497300,yargitay,2. Ceza Dairesi,2009/7423,2010/8261,2010-03-17,2010,1243
yargitay:847143200,847143200,yargitay,14. Hukuk Dairesi,2007/16840,2008/880,2008-02-01,2008,873
yargitay:491055800,491055800,yargitay,2. Hukuk Dairesi,2008/7923,2008/12280,2008-09-22,2008,707
yargitay:531110000,531110000,yargitay,2. Hukuk Dairesi,2008/11533,2009/17837,2009-10-20,2009,1085
yargitay:857386500,857386500,yargitay,15. Hukuk Dairesi,2008/1784,2008/1928,2008-03-25,2008,1241
yargitay:856927900,856927900,yargitay,15. Hukuk Dairesi,2008/1014,2008/2642,2008-04-21,2008,965
yargitay:901442700,901442700,yargitay,20. Hukuk Dairesi,2008/12728,2008/17591,2008-12-16,2008,1934
yargitay:16750100,16750100,yargitay,Hukuk Genel Kurulu,2008/661,2008/661,2008-11-05,2008,12423
yargitay:889428000,889428000,yargitay,19. Hukuk Dairesi,2007/2151,2007/2442,2007-03-15,2007,459
yargitay:535806900,535806900,yargitay,17. Hukuk Dairesi,2009/8147,2010/1713,2010-03-01,2010,5798
yargitay:846817100,846817100,yargitay,14. Hukuk Dairesi,2008/7505,2008/8795,2008-07-03,2008,1998
yargitay:71611300,71611300,yargitay,12. Hukuk Dairesi,2008/7728,2008/10428,2008-05-16,2008,771
yargitay:896333500,896333500,yargitay,20. Hukuk Dairesi,2008/3854,2008/7467,2008-05-15,2008,17674
yargitay:994257600,994257600,yargitay,4. Ceza Dairesi,2008/10425,2010/6569,2010-04-12,2010,2128
yargitay:77336600,77336600,yargitay,21. Hukuk Dairesi,2006/8238,2006/9211,2006-09-28,2006,1448
yargitay:962301200,962301200,yargitay,3. Ceza Dairesi,2009/4610,2010/2538,2010-02-17,2010,1313
yargitay:846620900,846620900,yargitay,14. Hukuk Dairesi,2009/10002,2009/10773,2009-10-13,2009,1253
yargitay:92778500,92778500,yargitay,2. Ceza Dairesi,2009/52565,2010/14025,2010-04-28,2010,787
yargitay:891859900,891859900,yargitay,20. Hukuk Dairesi,2009/1201,2009/3416,2009-03-02,2009,1514
yargitay:858076200,858076200,yargitay,14. Hukuk Dairesi,2007/5375,2007/5912,2007-05-18,2007,809
yargitay:69914300,69914300,yargitay,12. Hukuk Dairesi,2009/14861,2009/23790,2009-11-25,2009,769
yargitay:866341800,866341800,yargitay,16. Hukuk Dairesi,2006/3565,2006/4406,2006-06-09,2006,959
yargitay:867560900,867560900,yargitay,16. Hukuk Dairesi,2006/2277,2006/4659,2006-06-15,2006,850
yargitay:867109900,867109900,yargitay,16. Hukuk Dairesi,2006/3453,2006/6515,2006-10-12,2006,3737
yargitay:81368800,81368800,yargitay,2. Hukuk Dairesi,2007/7594,2008/5321,2008-04-14,2008,1509
yargitay:907410000,907410000,yargitay,20. Hukuk Dairesi,2006/12920,2006/15952,2006-11-20,2006,1539
yargitay:870566500,870566500,yargitay,21. Hukuk Dairesi,2009/14013,2009/13812,2009-10-27,2009,955
yargitay:888389500,888389500,yargitay,19. Hukuk Dairesi,2007/400,2007/3474,2007-04-09,2007,939
yargitay:869526500,869526500,yargitay,17. Hukuk Dairesi,2007/3811,2008/653,2008-02-18,2008,524
yargitay:76106200,76106200,yargitay,12. Hukuk Dairesi,2007/16377,2007/19176,2007-10-22,2007,961
yargitay:998972300,998972300,yargitay,4. Ceza Dairesi,2009/29529,2010/1811,2010-02-09,2010,1391
yargitay:906316500,906316500,yargitay,21. Hukuk Dairesi,2006/9653,2006/14591,2006-12-05,2006,1896
yargitay:851133100,851133100,yargitay,14. Hukuk Dairesi,2006/564,2006/2464,2006-03-06,2006,909
yargitay:869525500,869525500,yargitay,21. Hukuk Dairesi,2008/13421,2009/12216,2009-10-06,2009,930
yargitay:877095600,877095600,yargitay,17. Hukuk Dairesi,2009/8454,2009/9125,2009-12-29,2009,1633
yargitay:897407300,897407300,yargitay,20. Hukuk Dairesi,2006/17649,2007/1376,2007-02-12,2007,2405
