id,document_id,court,esas_no,karar_no,karar_tarihi,year,chars,text
yargitay:619667500,619667500,9. Hukuk Dairesi,2009/15462,2010/2654,2010-02-08,2010,62,"9. Hukuk Dairesi 2009/15462 E. , 2010/2654 K.

""İçtihat Metni"""
yargitay:441601400,441601400,9. Hukuk Dairesi,2007/16471,2007/21473,2007-07-02,2007,63,"9. Hukuk Dairesi 2007/16471 E. , 2007/21473 K.

""İçtihat Metni"""
yargitay:1025174900,1025174900,5. Hukuk Dairesi,2009/15536,2010/228,2010-01-11,2010,64,"5. Hukuk Dairesi 2009/15536 E. , 2010/228 K.

""İçtihat Metni""..."
yargitay:1023750100,1023750100,5. Hukuk Dairesi,2009/17461,2010/633,2010-01-18,2010,65,"5. Hukuk Dairesi 2009/17461 E. , 2010/633 K.

""İçtihat Metni""...."
yargitay:1026131000,1026131000,5. Hukuk Dairesi,2009/18842,2010/1241,2010-01-25,2010,67,"5. Hukuk Dairesi 2009/18842 E. , 2010/1241 K.

""İçtihat Metni""
...."
yargitay:890264000,890264000,20. Hukuk Dairesi,2009/267,2009/252,2009-01-16,2009,71,"(Kapatılan)20. Hukuk Dairesi 2009/267 E. , 2009/252 K.

""İçtihat Metni"""
yargitay:830618700,830618700,13. Hukuk Dairesi,2009/753,2009/522,2009-01-23,2009,72,"(Kapatılan) 13. Hukuk Dairesi 2009/753 E. , 2009/522 K.

""İçtihat Metni"""
yargitay:829251000,829251000,13. Hukuk Dairesi,2008/9292,2009/244,2009-01-20,2009,73,"(Kapatılan) 13. Hukuk Dairesi 2008/9292 E. , 2009/244 K.

""İçtihat Metni"""
yargitay:840408500,840408500,13. Hukuk Dairesi,2006/871,2006/5032,2006-04-04,2006,73,"(Kapatılan) 13. Hukuk Dairesi 2006/871 E. , 2006/5032 K.

""İçtihat Metni"""
yargitay:840441800,840441800,13. Hukuk Dairesi,2006/150,2006/5372,2006-04-11,2006,73,"(Kapatılan) 13. Hukuk Dairesi 2006/150 E. , 2006/5372 K.

""İçtihat Metni"""
yargitay:841526100,841526100,13. Hukuk Dairesi,2006/317,2006/6031,2006-04-17,2006,73,"(Kapatılan) 13. Hukuk Dairesi 2006/317 E. , 2006/6031 K.

""İçtihat Metni"""
yargitay:871660100,871660100,17. Hukuk Dairesi,2006/2268,2006/3604,2006-04-24,2006,73,"(Kapatılan)17. Hukuk Dairesi 2006/2268 E. , 2006/3604 K.

""İçtihat Metni"""
yargitay:831256300,831256300,13. Hukuk Dairesi,2009/4824,2009/5283,2009-04-16,2009,74,"(Kapatılan) 13. Hukuk Dairesi 2009/4824 E. , 2009/5283 K.

""İçtihat Metni"""
yargitay:840405800,840405800,13. Hukuk Dairesi,2006/1062,2006/5010,2006-04-04,2006,74,"(Kapatılan) 13. Hukuk Dairesi 2006/1062 E. , 2006/5010 K.

""İçtihat Metni"""
yargitay:840405900,840405900,13. Hukuk Dairesi,2006/1342,2006/5013,2006-04-04,2006,74,"(Kapatılan) 13. Hukuk Dairesi 2006/1342 E. , 2006/5013 K.

""İçtihat Metni"""
