corpus_chars,corpus_has_dava_turu,corpus_has_deneme,corpus_has_ilgili_ceza_mah,corpus_normalized_is_substring,court,court_present,document_id,esas_no,esas_present,karar_no,karar_present,karar_tarihi,official_chars,official_has_dava_turu,official_has_deneme,official_has_ilgili_ceza_mah,official_mime_type,official_normalized_is_substring,official_raw_bytes,sequence_ratio,status,official_preview
78,False,True,False,True,1. Hukuk Dairesi,True,16193500,2006/113,True,2006/115,True,2006-09-02,182,False,True,False,text/html,False,564,0.778947,ok,"1. Hukuk Dairesi 2006/113 E., 2006/115 K. 1. Hukuk Dairesi 2006/113 E., 2006/115 K. ""İçtihat Metni"" deneme karar metni"
108,True,False,True,False,8. Hukuk Dairesi,True,521636700,2012/574,True,2012/221,True,2012-01-23,122,True,False,True,text/html,False,634,0.995261,ok,"8. Hukuk Dairesi 2012/574 E. , 2012/221 K. ""İçtihat Metni"" MAHKEMESİ : ilgiliCezaMahAdi DAVA TÜRÜ : davaTuru"
109,True,False,True,False,12. Hukuk Dairesi,True,385753300,2008/514,True,2008/326,True,2008-01-16,123,True,False,True,text/html,False,635,0.995305,ok,"12. Hukuk Dairesi 2008/514 E. , 2008/326 K. ""İçtihat Metni"" MAHKEMESİ : ilgiliCezaMahAdi DAVA TÜRÜ : davaTuru"
109,True,False,True,False,2. Hukuk Dairesi,True,505202300,2009/1187,True,2009/733,True,2009-01-26,123,True,False,True,text/html,False,635,0.995305,ok,"2. Hukuk Dairesi 2009/1187 E. , 2009/733 K. ""İçtihat Metni"" MAHKEMESİ : ilgiliCezaMahAdi DAVA TÜRÜ : davaTuru"
109,True,False,True,False,2. Hukuk Dairesi,True,505369700,2009/1060,True,2009/717,True,2009-01-26,123,True,False,True,text/html,False,635,0.995305,ok,"2. Hukuk Dairesi 2009/1060 E. , 2009/717 K. ""İçtihat Metni"" MAHKEMESİ : ilgiliCezaMahAdi DAVA TÜRÜ : davaTuru"
109,True,False,True,False,8. Hukuk Dairesi,True,523387600,2011/2740,True,2012/784,True,2012-02-14,123,True,False,True,text/html,False,635,0.995305,ok,"8. Hukuk Dairesi 2011/2740 E. , 2012/784 K. ""İçtihat Metni"" MAHKEMESİ : ilgiliCezaMahAdi DAVA TÜRÜ : davaTuru"
109,True,False,True,False,2. Hukuk Dairesi,True,540210900,2009/679,True,2010/2955,True,2010-02-18,123,True,False,True,text/html,False,635,0.995305,ok,"2. Hukuk Dairesi 2009/679 E. , 2010/2955 K. ""İçtihat Metni"" MAHKEMESİ : ilgiliCezaMahAdi DAVA TÜRÜ : davaTuru"
110,True,False,True,False,12. Hukuk Dairesi,True,385780000,2008/653,True,2008/2346,True,2008-02-14,124,True,False,True,text/html,False,636,0.995349,ok,"12. Hukuk Dairesi 2008/653 E. , 2008/2346 K. ""İçtihat Metni"" MAHKEMESİ : ilgiliCezaMahAdi DAVA TÜRÜ : davaTuru"
110,True,False,True,False,12. Hukuk Dairesi,True,386403000,2009/271,True,2009/8197,True,2009-04-16,124,True,False,True,text/html,False,636,0.995349,ok,"12. Hukuk Dairesi 2009/271 E. , 2009/8197 K. ""İçtihat Metni"" MAHKEMESİ : ilgiliCezaMahAdi DAVA TÜRÜ : davaTuru"
110,True,False,True,False,2. Hukuk Dairesi,True,484783500,2008/8782,True,2008/7865,True,2008-06-02,124,True,False,True,text/html,False,636,0.995349,ok,"2. Hukuk Dairesi 2008/8782 E. , 2008/7865 K. ""İçtihat Metni"" MAHKEMESİ : ilgiliCezaMahAdi DAVA TÜRÜ : davaTuru"
110,True,False,True,False,2. Hukuk Dairesi,True,504598600,2009/10097,True,2010/431,True,2010-01-13,124,True,False,True,text/html,False,636,0.995349,ok,"2. Hukuk Dairesi 2009/10097 E. , 2010/431 K. ""İçtihat Metni"" MAHKEMESİ : ilgiliCezaMahAdi DAVA TÜRÜ : davaTuru"
110,True,False,True,False,2. Hukuk Dairesi,True,517233700,2008/2907,True,2009/8093,True,2009-04-27,124,True,False,True,text/html,False,636,0.995349,ok,"2. Hukuk Dairesi 2008/2907 E. , 2009/8093 K. ""İçtihat Metni"" MAHKEMESİ : ilgiliCezaMahAdi DAVA TÜRÜ : davaTuru"
