corpus_chars,corpus_in_official,court,court_group,court_present,document_id,error,esas_no,esas_present,karar_no,karar_present,karar_tarihi,normalized_length_ratio,official_chars,official_in_corpus,official_mime_type,official_raw_bytes,sample_index,sequence_ratio,status,stratum,text_match_ge_0_95,text_match_ge_0_98,year
1471,False,11. Hukuk Dairesi,hukuk,True,273571500,,2016/14156,True,2016/9351,True,2016-12-05,0.999317,1490,False,text/html,2102,1,0.999658,ok,modern_2016_2026,True,True,2016
1624,False,12. Hukuk Dairesi,hukuk,True,239067200,,2016/24964,True,2016/18737,True,2016-09-09,0.99938,1639,False,text/html,2284,2,0.99969,ok,modern_2016_2026,True,True,2016
652,False,3. Hukuk Dairesi,hukuk,True,270405700,,2015/16382,True,2016/13018,True,2016-11-21,0.998452,747,False,text/html,1308,3,0.999225,ok,modern_2016_2026,True,True,2016
2760,False,20. Hukuk Dairesi,hukuk,True,281935600,,2016/13811,True,2016/12407,True,2016-12-20,0.999636,2785,False,text/html,3585,4,0.999818,ok,modern_2016_2026,True,True,2016
2428,False,12. Hukuk Dairesi,hukuk,True,162671400,,2016/1317,True,2016/4079,True,2016-02-16,0.999584,2448,False,text/html,3051,5,0.999792,ok,modern_2016_2026,True,True,2016
2933,False,22. Hukuk Dairesi,hukuk,True,240023100,,2016/18276,True,2016/18364,True,2016-06-20,0.999656,2948,False,text/html,3735,6,0.999828,ok,modern_2016_2026,True,True,2016
1885,False,23. Ceza Dairesi,ceza,True,275208300,,2015/10236,True,2016/10424,True,2016-12-07,0.999464,1935,False,text/html,2676,7,0.999732,ok,modern_2016_2026,True,True,2016
8273,True,17. Hukuk Dairesi,hukuk,True,396190300,,2015/991,True,2017/8277,True,2017-09-27,1.0,8373,True,text/html,9483,8,1.0,ok,modern_2016_2026,True,True,2017
541,False,3. Ceza Dairesi,ceza,True,342451200,,2016/15135,True,2017/8017,True,2017-06-06,0.998134,563,False,text/html,1176,9,0.999066,ok,modern_2016_2026,True,True,2017
758,False,22. Hukuk Dairesi,hukuk,True,388762000,,2015/33939,True,2017/28974,True,2017-12-19,0.998668,773,False,text/html,1349,10,0.999334,ok,modern_2016_2026,True,True,2017
723,True,7. Hukuk Dairesi,hukuk,True,320017000,,2015/17816,True,2017/10128,True,2017-01-30,1.0,739,True,text/html,1333,11,1.0,ok,modern_2016_2026,True,True,2017
670,True,14. Hukuk Dairesi,hukuk,True,376268200,,2017/5212,True,2017/8321,True,2017-11-10,1.0,738,True,text/html,1343,12,1.0,ok,modern_2016_2026,True,True,2017
1981,False,18. Ceza Dairesi,ceza,True,390704400,,2017/1749,True,2017/6993,True,2017-06-01,0.999493,2022,False,text/html,2776,13,0.999746,ok,modern_2016_2026,True,True,2017
2650,False,22. Hukuk Dairesi,hukuk,True,474631900,,2016/29613,True,2018/28285,True,2018-12-25,0.999621,2674,False,text/html,3439,14,0.99981,ok,modern_2016_2026,True,True,2018
1091,False,1. Ceza Dairesi,ceza,True,398250300,,2017/3435,True,2018/467,True,2018-02-12,0.999077,1120,False,text/html,1741,15,0.999538,ok,modern_2016_2026,True,True,2018
840,False,15. Hukuk Dairesi,hukuk,True,425096300,,2018/362,True,2018/1929,True,2018-05-14,0.998801,854,False,text/html,1464,16,0.9994,ok,modern_2016_2026,True,True,2018
741,False,22. Hukuk Dairesi,hukuk,True,476612500,,2016/700,True,2018/25505,True,2018-11-27,0.998641,762,False,text/html,1355,17,0.99932,ok,modern_2016_2026,True,True,2018
1399,False,16. Ceza Dairesi,ceza,True,546495800,,2018/2629,True,2018/3602,True,2018-10-24,0.99928,1420,False,text/html,2065,18,0.99964,ok,modern_2016_2026,True,True,2018
2751,True,17. Hukuk Dairesi,hukuk,True,432149200,,2015/12988,True,2018/6787,True,2018-07-05,1.0,2808,True,text/html,3559,19,1.0,ok,modern_2016_2026,True,True,2018
1366,True,9. Hukuk Dairesi,hukuk,True,549533300,,2019/1156,True,2019/14496,True,2019-06-27,1.0,1462,True,text/html,2108,20,1.0,ok,modern_2016_2026,True,True,2019
794,False,10. Hukuk Dairesi,hukuk,True,559191900,,2019/1871,True,2019/10113,True,2019-12-19,0.998733,808,False,text/html,1384,21,0.999366,ok,modern_2016_2026,True,True,2019
1181,False,3. Ceza Dairesi,ceza,True,487179400,,2018/5841,True,2019/2772,True,2019-02-13,0.999147,1201,False,text/html,1827,22,0.999574,ok,modern_2016_2026,True,True,2019
1340,True,5. Hukuk Dairesi,hukuk,True,555113800,,2019/3039,True,2019/19585,True,2019-12-04,1.0,1446,True,text/html,2064,23,1.0,ok,modern_2016_2026,True,True,2019
862,False,3. Ceza Dairesi,ceza,True,565421000,,2019/13902,True,2019/20875,True,2019-11-18,0.998832,882,False,text/html,1460,24,0.999416,ok,modern_2016_2026,True,True,2019
1688,False,9. Hukuk Dairesi,hukuk,True,504158400,,2017/10678,True,2019/9993,True,2019-05-06,0.999403,1767,False,text/html,2432,25,0.999701,ok,modern_2016_2026,True,True,2019
755,True,9. Hukuk Dairesi,hukuk,True,551762400,,2016/4542,True,2019/13830,True,2019-06-21,1.0,818,True,text/html,1401,26,1.0,ok,modern_2016_2026,True,True,2019
715,True,17. Ceza Dairesi,ceza,True,612714300,,2020/14932,True,2020/17767,True,2020-09-25,1.0,732,True,text/html,1329,27,1.0,ok,modern_2016_2026,True,True,2020
1334,False,11. Ceza Dairesi,ceza,True,576479700,,2019/8314,True,2020/253,True,2020-01-15,0.999244,1365,False,text/html,2003,28,0.999622,ok,modern_2016_2026,True,True,2020
919,False,1. Hukuk Dairesi,hukuk,True,620644600,,2020/1553,True,2020/6654,True,2020-12-10,0.998905,953,False,text/html,1566,29,0.999452,ok,modern_2016_2026,True,True,2020
2286,False,16. Ceza Dairesi,ceza,True,579806800,,2019/6074,True,2020/1005,True,2020-02-12,0.99956,2329,False,text/html,3109,30,0.99978,ok,modern_2016_2026,True,True,2020
714,True,17. Ceza Dairesi,ceza,True,612462900,,2020/1744,True,2020/11740,True,2020-09-25,1.0,731,True,text/html,1328,31,1.0,ok,modern_2016_2026,True,True,2020
1110,True,20. Ceza Dairesi,ceza,True,579599000,,2019/5751,True,2020/1780,True,2020-03-11,1.0,1154,True,text/html,1824,32,1.0,ok,modern_2016_2026,True,True,2020
1537,False,6. Ceza Dairesi,ceza,True,702570400,,2021/12654,True,2021/17080,True,2021-11-03,0.99934,1558,False,text/html,2218,33,0.99967,ok,modern_2016_2026,True,True,2021
1427,False,6. Ceza Dairesi,ceza,True,717244200,,2021/17552,True,2021/19984,True,2021-12-21,0.999296,1443,False,text/html,2090,34,0.999648,ok,modern_2016_2026,True,True,2021
830,False,6. Ceza Dairesi,ceza,True,663230600,,2021/8716,True,2021/9139,True,2021-05-18,0.998786,848,False,text/html,1442,35,0.999393,ok,modern_2016_2026,True,True,2021
5865,True,10. Ceza Dairesi,ceza,True,651320500,,2020/8312,True,2021/3492,True,2021-03-15,1.0,5964,True,text/html,6979,36,1.0,ok,modern_2016_2026,True,True,2021
873,False,11. Ceza Dairesi,ceza,True,714526100,,2021/37988,True,2021/11125,True,2021-11-30,0.998848,890,False,text/html,1494,37,0.999424,ok,modern_2016_2026,True,True,2021
1006,False,8. Hukuk Dairesi,hukuk,True,684382800,,2020/1335,True,2021/5473,True,2021-06-24,0.998999,1018,False,text/html,1611,38,0.999499,ok,modern_2016_2026,True,True,2021
834,False,5. Ceza Dairesi,ceza,True,831340000,,2022/8484,True,2022/13364,True,2022-11-08,0.998797,851,False,text/html,1462,39,0.999398,ok,modern_2016_2026,True,True,2022
1489,False,11. Ceza Dairesi,ceza,True,797687000,,2021/35206,True,2022/8049,True,2022-05-11,0.999322,1509,False,text/html,2131,40,0.999661,ok,modern_2016_2026,True,True,2022
681,False,2. Ceza Dairesi,ceza,True,810905300,,2021/13829,True,2022/11252,True,2022-06-02,0.998514,716,False,text/html,1331,41,0.999257,ok,modern_2016_2026,True,True,2022
1619,False,9. Ceza Dairesi,ceza,True,786077100,,2021/27138,True,2022/6093,True,2022-06-15,0.999379,1641,False,text/html,2288,42,0.99969,ok,modern_2016_2026,True,True,2022
2075,False,1. Hukuk Dairesi,hukuk,True,848151200,,2022/2919,True,2022/6220,True,2022-09-29,0.999515,2111,False,text/html,2848,43,0.999757,ok,modern_2016_2026,True,True,2022
3412,False,8. Ceza Dairesi,ceza,True,836040100,,2020/537,True,2022/12458,True,2022-09-20,0.999706,3442,False,text/html,4314,44,0.999853,ok,modern_2016_2026,True,True,2022
11296,False,10. Hukuk Dairesi,hukuk,True,925922800,,2023/3909,True,2023/4242,True,2023-04-13,0.999911,11333,False,text/html,13078,45,0.999955,ok,modern_2016_2026,True,True,2023
7268,False,9. Hukuk Dairesi,hukuk,True,924986700,,2023/11439,True,2023/11219,True,2023-07-10,0.999861,7298,False,text/html,8681,46,0.999931,ok,modern_2016_2026,True,True,2023
5190,False,11. Ceza Dairesi,ceza,True,915364800,,2019/8208,True,2023/4268,True,2023-05-23,0.999805,5211,False,text/html,6371,47,0.999903,ok,modern_2016_2026,True,True,2023
6290,False,4. Hukuk Dairesi,hukuk,True,982116100,,2021/22939,True,2023/1071,True,2023-01-26,0.999839,6364,False,text/html,7569,48,0.99992,ok,modern_2016_2026,True,True,2023
5289,,7. Hukuk Dairesi,hukuk,,925836700,HTTP 429: Too Many Requests,2022/2401,,2023/3603,,2023-07-03,,,,,,49,,http_error,modern_2016_2026,,,2023
9775,True,11. Hukuk Dairesi,hukuk,True,978672700,,2022/2881,True,2023/5134,True,2023-09-20,1.0,9793,True,text/html,11381,50,1.0,ok,modern_2016_2026,True,True,2023
6305,True,9. Hukuk Dairesi,hukuk,True,863142700,,2023/406,True,2023/1276,True,2023-01-24,1.0,6339,True,text/html,7555,51,1.0,ok,modern_2016_2026,True,True,2023
4049,False,10. Hukuk Dairesi,hukuk,True,1123102600,,2024/9154,True,2024/13473,True,2024-12-19,0.999751,4080,False,text/html,4979,52,0.999876,ok,modern_2016_2026,True,True,2024
5649,True,12. Ceza Dairesi,ceza,True,1033556500,,2020/12289,True,2024/1812,True,2024-04-18,1.0,5693,True,text/html,6844,53,1.0,ok,modern_2016_2026,True,True,2024
8889,True,10. Ceza Dairesi,ceza,True,1112442900,,2023/13537,True,2024/26036,True,2024-12-16,1.0,8926,True,text/html,10407,54,1.0,ok,modern_2016_2026,True,True,2024
4602,True,12. Ceza Dairesi,ceza,True,1038386900,,2020/12162,True,2024/2243,True,2024-05-09,1.0,4617,True,text/html,5664,55,1.0,ok,modern_2016_2026,True,True,2024
1979,False,12. Hukuk Dairesi,hukuk,True,1072979400,,2024/1359,True,2024/6545,True,2024-06-26,0.99949,1994,False,text/html,2660,56,0.999745,ok,modern_2016_2026,True,True,2024
2039,False,7. Ceza Dairesi,ceza,True,1082489600,,2024/159,True,2024/7662,True,2024-09-25,0.999504,2063,False,text/html,2847,57,0.999752,ok,modern_2016_2026,True,True,2024
3775,False,12. Ceza Dairesi,ceza,True,1187744100,,2024/539,True,2025/7985,True,2025-11-19,0.999734,3797,False,text/html,4527,58,0.999867,ok,modern_2016_2026,True,True,2025
1042,False,12. Hukuk Dairesi,hukuk,True,1123230200,,2025/8,True,2025/1769,True,2025-02-27,0.999036,1057,False,text/html,1637,59,0.999518,ok,modern_2016_2026,True,True,2025
1686,False,6. Ceza Dairesi,ceza,True,1204596600,,2025/245,True,2025/11260,True,2025-12-15,0.999402,1699,False,text/html,2224,60,0.999701,ok,modern_2016_2026,True,True,2025
7297,False,10. Ceza Dairesi,ceza,True,1197381900,,2024/9319,True,2025/13603,True,2025-12-16,0.999862,7321,False,text/html,8362,61,0.999931,ok,modern_2016_2026,True,True,2025
418,False,8. Ceza Dairesi,ceza,True,1167714900,,2025/5296,True,2025/5882,True,2025-07-04,0.997579,435,False,text/html,848,62,0.998788,ok,modern_2016_2026,True,True,2025
9836,True,8. Ceza Dairesi,ceza,True,1170111600,,2024/25459,True,2025/4324,True,2025-05-28,1.0,9873,True,text/html,11263,63,1.0,ok,modern_2016_2026,True,True,2025
1018,False,5. Ceza Dairesi,ceza,True,1204575700,,2025/10473,True,2026/316,True,2026-01-15,0.999013,1039,False,text/html,1483,64,0.999506,ok,modern_2016_2026,True,True,2026
